Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,DataAnalyticsCourse,104,4498,231.88,14,7,0.058,1892.00,11/16/2024,hyderabad,desktop,learn data analytics
A1001,DataAnalyticsCourse,173,5107,216.84,10,8,0.046,1679.00,20-11-2024,hyderabad,mobile,data analytics course
A1002,Data Anlytics Corse,90,4544,203.66,26,9,,1624.00,11/16/2024,hyderabad,Desktop,data analitics online
A1003,Data Analytcis Course,142,3185,237.66,17,6,,1225.00,11/26/2024,HYDERABAD,tablet,data anaytics training
A1004,Data Analytics Corse,156,3361,195.90,30,8,,1091.00,11/22/2024,hyderabad,desktop,online data analytic
A1005,DataAnalyticsCourse,195,3776,243.57,10,8,,1315.00,16-11-2024,hyderabad,MOBILE,data anaytics training
A1006,Data Analytics Corse,116,4480,237.79,17,5,0.043,1640.00,6/11/2024,hyderabad,TABLET,data analytics course
A1007,Data Analytics Corse,184,5060,229.61,23,3,0.016,1509.00,11/24/2024,Hyderbad,TABLET,analytics for data
A1008,Data Analytics Corse,113,5434,,27,4,0.058,1362.00,11/24/2024,Hyderbad,Tablet,data anaytics training
A1009,Data Analytcis Course,166,3355,186.78,24,9,0.054,1029.00,11/12/2024,Hyderbad,Mobile,online data analytic
A1010,DataAnalyticsCourse,101,5399,236.79,20,6,0.059,1900.00,14-11-2024,HYDERABAD,DESKTOP,learn data analytics
A1011,Data Analytics Corse,101,3613,208.12,24,5,0.05,1130.00,11/22/2024,hyderabad,Desktop,online data analytic
A1012,Data Analytcis Course,125,3259,191.30,18,3,0.024,1959.00,11/27/2024,hydrebad,DESKTOP,data analitics online
A1013,Data Analytics Corse,196,3742,207.46,10,7,0.038,1623.00,12/11/2024,hyderabad,mobile,data anaytics training
A1014,Data Analytcis Course,181,4311,185.09,11,9,0.05,1538.00,11/4/2024,Hyderbad,Desktop,data anaytics training
A1015,Data Analytcis Course,102,5461,201.69,22,8,0.078,1755.00,11/29/2024,hyderabad,desktop,data analytics course
A1016,Data Analytcis Course,193,5159,,15,9,0.047,1614.00,11/10/2024,hydrebad,Mobile,learn data analytics
A1017,Data Anlytics Corse,149,4431,207.40,19,9,0.06,1693.00,12/11/2024,HYDERABAD,mobile,learn data analytics
A1018,Data Analytics Corse,150,3113,217.41,20,5,,1785.00,11/7/2024,hyderabad,Mobile,analytics for data
A1019,Data Analytcis Course,145,5278,,25,6,0.041,1516.00,11/5/2024,hyderabad,DESKTOP,data analytics course
A1020,Data Analytcis Course,184,4143,223.30,10,10,0.044,1735.00,11/21/2024,Hyderbad,TABLET,learn data analytics
A1021,Data Analytics Corse,171,4154,184.23,30,7,0.041,1803.00,11/8/2024,hyderabad,tablet,data analitics online
A1022,Data Analytcis Course,122,5187,211.24,27,6,0.049,1322.00,11/20/2024,HYDERABAD,Desktop,online data analytic
A1023,Data Anlytics Corse,188,5798,230.17,28,5,0.047,1452.00,30-11-2024,HYDERABAD,TABLET,data analytics course
A1024,DataAnalyticsCourse,87,3718,,12,3,0.034,1652.00,20-11-2024,Hyderbad,tablet,learn data analytics
A1025,DataAnalyticsCourse,88,3349,181.92,22,8,0.091,1456.00,11/20/2024,HYDERABAD,Tablet,learn data analytics
A1026,Data Anlytics Corse,119,5323,205.92,17,10,0.06,1656.00,11/2/2024,Hyderbad,desktop,online data analytic
A1027,Data Analytics Corse,,5286,234.89,22,10,,1688.00,11/21/2024,hyderabad,DESKTOP,data anaytics training
A1028,Data Anlytics Corse,128,5469,188.49,16,3,,1783.00,11/23/2024,Hyderbad,MOBILE,learn data analytics
A1029,Data Analytcis Course,86,3351,237.75,21,9,0.105,1975.00,11/13/2024,HYDERABAD,Mobile,analytics for data
A1030,Data Analytics Corse,188,4834,213.58,15,4,0.021,1590.00,11/8/2024,Hyderbad,TABLET,online data analytic
A1031,DataAnalyticsCourse,113,5065,212.37,11,5,,1111.00,22-11-2024,HYDERABAD,Desktop,online data analytic
A1032,Data Analytcis Course,,3872,244.38,20,4,,1041.00,12/11/2024,HYDERABAD,tablet,data analitics online
A1033,Data Analytics Corse,176,5509,234.59,19,7,0.054,1710.00,11/3/2024,Hyderbad,Tablet,data analytics course
A1034,Data Analytcis Course,121,5610,214.96,23,8,,,11/25/2024,hyderabad,Mobile,data analytics course
A1035,DataAnalyticsCourse,104,5275,236.48,16,9,0.031,1824.00,1/11/2024,HYDERABAD,DESKTOP,data anaytics training
A1036,Data Anlytics Corse,146,5939,242.90,11,8,0.035,1833.00,11/7/2024,HYDERABAD,Desktop,data anaytics training
A1037,Data Analytcis Course,123,5131,,19,5,0.041,1307.00,9/11/2024,hydrebad,MOBILE,learn data analytics
A1038,Data Analytcis Course,90,5786,197.55,11,6,0.043,1704.00,16-11-2024,hyderabad,MOBILE,online data analytic
A1039,Data Analytcis Course,171,4304,192.61,17,10,0.058,1427.00,11/26/2024,hydrebad,Mobile,learn data analytics
A1040,Data Analytics Corse,94,5549,231.23,25,9,0.096,1849.00,11/12/2024,Hyderbad,mobile,data anaytics training
A1041,Data Analytics Corse,112,4271,196.07,27,6,,1209.00,11/14/2024,hyderabad,desktop,data analitics online
A1042,Data Analytcis Course,113,4418,191.55,27,10,,1634.00,11/9/2024,Hyderbad,MOBILE,data analytics course
A1043,Data Anlytics Corse,145,3721,180.95,21,7,0.048,1960.00,29-11-2024,hydrebad,desktop,data analitics online
A1044,DataAnalyticsCourse,197,5783,204.46,23,6,,1729.00,1/11/2024,hydrebad,TABLET,data anaytics training
A1045,DataAnalyticsCourse,109,4866,236.78,27,5,,1585.00,15-11-2024,hyderabad,Mobile,online data analytic
A1046,Data Anlytics Corse,188,5857,222.98,20,4,0.048,1303.00,11/11/2024,HYDERABAD,desktop,data anaytics training
A1047,Data Analytics Corse,142,5103,234.10,24,3,0.021,1835.00,11/8/2024,Hyderbad,mobile,analytics for data
A1048,Data Analytcis Course,168,4653,240.84,27,9,0.054,1367.00,11/24/2024,hydrebad,Mobile,online data analytic
A1049,Data Analytcis Course,110,3524,248.86,19,10,0.091,1524.00,21-11-2024,Hyderbad,MOBILE,learn data analytics
A1050,Data Analytcis Course,192,5938,182.84,26,5,0.039,1080.00,11/12/2024,hydrebad,MOBILE,analytics for data
A1051,Data Analytics Corse,101,3942,206.62,16,5,0.05,1746.00,11/24/2024,HYDERABAD,Tablet,analytics for data
