country_code_iso2,country_code_iso3,country_code_id,country_name,location_code,location_name
US,USA,581,United States,AL,Alabama
US,USA,581,United States,AK,Alaska
US,USA,581,United States,AZ,Arizona
US,USA,581,United States,AR,Arkansas
US,USA,581,United States,CA,California
US,USA,581,United States,CO,Colorado
US,USA,581,United States,CT,Connecticut
US,USA,581,United States,DE,Delaware
US,USA,581,United States,FL,Florida
US,USA,581,United States,GA,Georgia
US,USA,581,United States,HI,Hawaii
US,USA,581,United States,ID,Idaho
US,USA,581,United States,IL,Illinois
US,USA,581,United States,IN,Indiana
US,USA,581,United States,IA,Iowa
US,USA,581,United States,KS,Kansas
US,USA,581,United States,KY,Kentucky
US,USA,581,United States,LA,Louisiana
US,USA,581,United States,ME,Maine
US,USA,581,United States,MD,Maryland
US,USA,581,United States,MA,Massachusetts
US,USA,581,United States,MI,Michigan
US,USA,581,United States,MN,Minnesota
US,USA,581,United States,MS,Mississippi
US,USA,581,United States,MO,Missouri
US,USA,581,United States,MT,Montana
US,USA,581,United States,NE,Nebraska
US,USA,581,United States,NV,Nevada
US,USA,581,United States,NH,New Hampshire
US,USA,581,United States,NJ,New Jersey
US,USA,581,United States,NM,New Mexico
US,USA,581,United States,NY,New York
US,USA,581,United States,NC,North Carolina
US,USA,581,United States,ND,North Dakota
US,USA,581,United States,OH,Ohio
US,USA,581,United States,OK,Oklahoma
US,USA,581,United States,OR,Oregon
US,USA,581,United States,PA,Pennsylvania
US,USA,581,United States,RI,Rhode Island
US,USA,581,United States,SC,South Carolina
US,USA,581,United States,SD,South Dakota
US,USA,581,United States,TN,Tennessee
US,USA,581,United States,TX,Texas
US,USA,581,United States,UT,Utah
US,USA,581,United States,VT,Vermont
US,USA,581,United States,VA,Virginia
US,USA,581,United States,WA,Washington
US,USA,581,United States,WV,West Virginia
US,USA,581,United States,WI,Wisconsin
US,USA,581,United States,WY,Wyoming
US,USA,581,United States,AS,American Samoa
US,USA,581,United States,GU,Guam
US,USA,581,United States,MP,Northern Mariana Islands
US,USA,581,United States,PR,Puerto Rico
US,USA,581,United States,VI,U.S. Virgin Islands
US,USA,581,United States,AA,Armed Forces Americas
US,USA,581,United States,AE,Armed Forces Europe
US,USA,581,United States,AP,Armed Forces Pacific
US,USA,581,United States,DC,Washington DC
