"location_name","year","population"
"United States",2020,"331526933"
"Alabama",2020,"5031864"
"Alaska",2020,"732964"
"Arizona",2020,"7186683"
"Arkansas",2020,"3014348"
"California",2020,"39503200"
"Colorado",2020,"5785219"
"Connecticut",2020,"3577586"
"Delaware",2020,"991862"
"Washington DC",2020,"670839"
"Florida",2020,"21591299"
"Georgia",2020,"10732390"
"Hawaii",2020,"1451181"
"Idaho",2020,"1849339"
"Illinois",2020,"12790357"
"Indiana",2020,"6789098"
"Iowa",2020,"3190904"
"Kansas",2020,"2938124"
"Kentucky",2020,"4508155"
"Louisiana",2020,"4652022"
"Maine",2020,"1364517"
"Maryland",2020,"6173689"
"Massachusetts",2020,"6997713"
"Michigan",2020,"10070627"
"Minnesota",2020,"5710578"
"Mississippi",2020,"2958409"
"Missouri",2020,"6154426"
"Montana",2020,"1087211"
"Nebraska",2020,"1963273"
"Nevada",2020,"3115840"
"New Hampshire",2020,"1378702"
"New Jersey",2020,"9272392"
"New Mexico",2020,"2118488"
"New York",2020,"20104710"
"North Carolina",2020,"10453812"
"North Dakota",2020,"779563"
"Ohio",2020,"11798292"
"Oklahoma",2020,"3965234"
"Oregon",2020,"4245044"
"Pennsylvania",2020,"12995477"
"Rhode Island",2020,"1096444"
"South Carolina",2020,"5132151"
"South Dakota",2020,"887852"
"Tennessee",2020,"6926091"
"Texas",2020,"29234361"
"Utah",2020,"3283982"
"Vermont",2020,"642936"
"Virginia",2020,"8637193"
"Washington",2020,"7724566"
"West Virginia",2020,"1791562"
"Wisconsin",2020,"5896700"
"Wyoming",2020,"577664"
"United States",2021,"332048977"
"Alabama",2021,"5050380"
"Alaska",2021,"734923"
"Arizona",2021,"7272487"
"Arkansas",2021,"3028443"
"California",2021,"39145060"
"Colorado",2021,"5811596"
"Connecticut",2021,"3603691"
"Delaware",2021,"1004881"
"Washington DC",2021,"669037"
"Florida",2021,"21830708"
"Georgia",2021,"10790385"
"Hawaii",2021,"1446745"
"Idaho",2021,"1904537"
"Illinois",2021,"12690341"
"Indiana",2021,"6813798"
"Iowa",2021,"3197944"
"Kansas",2021,"2937946"
"Kentucky",2021,"4507600"
"Louisiana",2021,"4627047"
"Maine",2021,"1378787"
"Maryland",2021,"6175045"
"Massachusetts",2021,"6991951"
"Michigan",2021,"10038117"
"Minnesota",2021,"5717968"
"Mississippi",2021,"2949582"
"Missouri",2021,"6170393"
"Montana",2021,"1106366"
"Nebraska",2021,"1964253"
"Nevada",2021,"3146632"
"New Hampshire",2021,"1387494"
"New Jersey",2021,"9269175"
"New Mexico",2021,"2116950"
"New York",2021,"19854526"
"North Carolina",2021,"10567100"
"North Dakota",2021,"777982"
